store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Yuba City,214,1375 Sunsweet Blvd.,,Yuba City,CA,95993,US,,39.13592,-121.63516,,,
Carson Valley,187,957 Topsy Lane,,Carson City,NV,89705,US,,39.10902,-119.77493,,,
Auburn,109,130 Grass Valley Hwy.,,Auburn,CA,95603,US,,38.90133,-121.07483,,,
Lincoln,838,850 Groveland Lane,,Lincoln,CA,95648,US,,38.87275,-121.304,,,
Rocklin,308,5490 Crossings Dr.,,Rocklin,CA,95677,US,,38.80166,-121.20451,,,
Roseville (Fairway Dr.),183,10309 Fairway Dr.,,Roseville,CA,95678,US,,38.78966,-121.28319,,,
Roseville (Taylor Rd.),132,1803 Taylor,,Roseville,CA,95661,US,,38.75825,-121.25955,,,
Placerville,139,3055 Forni Road,,Placerville,CA,95667,US,,38.72039,-120.83314,,,
Lodi,197,2625 W. Kettleman Ln.,,Lodi,CA,95242,US,,38.11596,-121.3082,,,
Stockton,101,2727 W. March Lane,,Stockton,CA,95219,US,,37.98471,-121.34561,,,
Elk Grove,116,9188 E Stockton Blvd.,,Elk Grove,CA,95624,US,,38.42411,-121.3915,,,
Manteca,191,1490 E. Yosemite Ave.,,Manteca,CA,95336,US,,37.79717,-121.19248,,,
Brentwood,189,5581 Lone Tree Way,,Brentwood,CA,94513,US,,37.96115,-121.74774,,,
Tracy,96,575 Clover Road,,Tracy,CA,95376,US,,37.76184,-121.43377,,,
Sacramento,276,2001 Alta Arden Expy.,,Sacramento,CA,95825,US,,38.59805,-121.4194,,,
Rancho Cordova,122,2475 Sunrise Blvd,,Rancho Cordova,CA,95670,US,,38.61461,-121.26897,,,
Pittsburg,168,4550 Delta Gateway Blvd.,,Pittsburg,CA,94565,US,,38.00537,-121.83634,,,
West Sacramento,225,780 Ikea Court,,West Sacramento,CA,95605,US,,38.59157,-121.55012,,,
Sacramento (Madison),217,4600 Madison Ave.,,Sacramento,CA,95841,US,,38.66041,-121.3571,,,
